name,type,category,notes
I2L,interneuron,,
I2R,interneuron,,
I3,interneuron,,
I4,interneuron,,
I5,interneuron,,
I6,interneuron,,
IL1DL,sensory,SN1,cephalic
IL1DR,sensory,SN1,cephalic
IL1L,sensory,SN1,cephalic
IL1R,sensory,SN1,cephalic
IL1VL,sensory,SN1,cephalic
IL1VR,sensory,SN1,cephalic
IL2DL,sensory,SN1,cephalic
IL2DR,sensory,SN1,cephalic
IL2L,sensory,SN1,cephalic
IL2R,sensory,SN1,cephalic
IL2VL,sensory,SN1,cephalic
IL2VR,sensory,SN1,cephalic
LUAL,interneuron,layer 3 interneuron,
LUAR,interneuron,layer 3 interneuron,
M1,motorneuron,,
M2L,motorneuron,,
M2R,motorneuron,,
M3L,motorneuron,,
M3R,motorneuron,,
M4,motorneuron,,
M5,motorneuron,,
MCL,motorneuron,,
MCR,motorneuron,,
MI,motorneuron,,
NSML,interneuron,,
NSMR,interneuron,,
OLLL,sensory,SN1,cephalic
OLLR,sensory,SN1,cephalic
OLQDL,sensory,SN1,cephalic
OLQDR,sensory,SN1,cephalic
OLQVL,sensory,SN1,cephalic
OLQVR,sensory,SN1,cephalic
PDA,motorneuron,ventral cord motor neuron,
PDB,motorneuron,ventral cord motor neuron,
PDEL,sensory,SN3,mechanosensory
PDER,sensory,SN3,mechanosensory
PHAL,sensory,SN2,phasmid
PHAR,sensory,SN2,phasmid
PHBL,sensory,SN2,phasmid
PHBR,sensory,SN2,phasmid
PHCL,sensory,SN2,phasmid
PHCR,sensory,SN2,phasmid
PLML,sensory,SN3,mechanosensory
PLMR,sensory,SN3,mechanosensory
PLNL,sensory,SN4,touch
PLNR,sensory,SN4,touch
PQR,sensory,SN4,touch
PVCL,interneuron,layer 1 interneuron,
PVCR,interneuron,layer 1 interneuron,
PVDL,sensory,SN3,mechanosensory
PVDR,sensory,SN3,mechanosensory
PVM,sensory,SN3,mechanosensory
PVNL,interneuron,layer 3 interneuron,
PVNR,interneuron,layer 3 interneuron,
PVPL,interneuron,layer 3 interneuron,
PVPR,interneuron,layer 3 interneuron,
PVQL,interneuron,layer 3 interneuron,
PVQR,interneuron,layer 3 interneuron,
PVR,interneuron,layer 3 interneuron,
PVT,interneuron,layer 2 interneuron,
PVWL,interneuron,layer 2 interneuron,
PVWR,interneuron,layer 2 interneuron,
RIAL,interneuron,layer 1 interneuron,
RIAR,interneuron,layer 1 interneuron,
RIBL,interneuron,layer 2 interneuron,
RIBR,interneuron,layer 2 interneuron,
RICL,interneuron,layer 2 interneuron,
RICR,interneuron,layer 2 interneuron,
RID,interneuron,layer 1 interneuron,
RIFL,interneuron,layer 3 interneuron,
RIFR,interneuron,layer 3 interneuron,
RIGL,interneuron,layer 2 interneuron,
RIGR,interneuron,layer 2 interneuron,
RIH,interneuron,category 4 interneuron,
RIML,interneuron,layer 1 interneuron,"motorneuron in White et al., 1986"
RIMR,interneuron,layer 1 interneuron,"motorneuron in White et al., 1986"
RIPL,interneuron,linker to pharynx,
RIPR,interneuron,linker to pharynx,
RIR,interneuron,category 4 interneuron,
RIS,interneuron,layer 3 interneuron,
RIVL,motorneuron,head motor neuron,
RIVR,motorneuron,head motor neuron,
RMDDL,motorneuron,head motor neuron,
RMDDR,motorneuron,head motor neuron,
RMDL,motorneuron,head motor neuron,
RMDR,motorneuron,head motor neuron,
RMDVL,motorneuron,head motor neuron,
RMDVR,motorneuron,head motor neuron,
RMED,motorneuron,head motor neuron,
RMEL,motorneuron,head motor neuron,
RMER,motorneuron,head motor neuron,
RMEV,motorneuron,head motor neuron,
RMFL,interneuron,layer 2 interneuron,
RMFR,interneuron,layer 2 interneuron,
RMGL,interneuron,layer 2 interneuron,
RMGR,interneuron,layer 2 interneuron,
RMHL,motorneuron,head motor neuron,
RMHR,motorneuron,head motor neuron,
SAADL,interneuron,layer 2 interneuron,
SAADR,interneuron,layer 2 interneuron,
SAAVL,interneuron,layer 2 interneuron,
SAAVR,interneuron,layer 2 interneuron,
SABD,motorneuron,sublateral motor neuron,"interneuron in White et al., 1986"
SABVL,motorneuron,sublateral motor neuron,"interneuron in White et al., 1987"
SABVR,motorneuron,sublateral motor neuron,"interneuron in White et al., 1988"
SDQL,sensory,SN4,touch
SDQR,sensory,SN4,touch
SIADL,motorneuron,sublateral motor neuron,"interneuron in White et al., 1990"
SIADR,motorneuron,sublateral motor neuron,"interneuron in White et al., 1991"
SIAVL,motorneuron,sublateral motor neuron,"interneuron in White et al., 1992"
SIAVR,motorneuron,sublateral motor neuron,"interneuron in White et al., 1993"
SIBDL,motorneuron,sublateral motor neuron,"interneuron in White et al., 1986"
SIBDR,motorneuron,sublateral motor neuron,"interneuron in White et al., 1987"
SIBVL,motorneuron,sublateral motor neuron,"interneuron in White et al., 1988"
SIBVR,motorneuron,sublateral motor neuron,"interneuron in White et al., 1989"
SMBDL,motorneuron,sublateral motor neuron,
SMBDR,motorneuron,sublateral motor neuron,
SMBVL,motorneuron,sublateral motor neuron,
SMBVR,motorneuron,sublateral motor neuron,
SMDDL,motorneuron,sublateral motor neuron,
SMDDR,motorneuron,sublateral motor neuron,
SMDVL,motorneuron,sublateral motor neuron,
SMDVR,motorneuron,sublateral motor neuron,
URADL,motorneuron,head motor neuron,
URADR,motorneuron,head motor neuron,
URAVL,motorneuron,head motor neuron,
URAVR,motorneuron,head motor neuron,
URBL,interneuron,category 4 interneuron,
URBR,interneuron,category 4 interneuron,
URXL,sensory,SN4,"O2, CO2, social signals, touch"
URXR,sensory,SN4,"O2, CO2, social signals, touch"
URYDL,sensory,SN1,cephalic
URYDR,sensory,SN1,cephalic
URYVL,sensory,SN1,cephalic
URYVR,sensory,SN1,cephalic
VA01,motorneuron,ventral cord motor neuron,
VA02,motorneuron,ventral cord motor neuron,
VA03,motorneuron,ventral cord motor neuron,
VA04,motorneuron,ventral cord motor neuron,
VA05,motorneuron,ventral cord motor neuron,
VA06,motorneuron,ventral cord motor neuron,
VA07,motorneuron,ventral cord motor neuron,
VA08,motorneuron,ventral cord motor neuron,
VA09,motorneuron,ventral cord motor neuron,
VA10,motorneuron,ventral cord motor neuron,
VA11,motorneuron,ventral cord motor neuron,
VA12,motorneuron,ventral cord motor neuron,
VB01,motorneuron,ventral cord motor neuron,
VB02,motorneuron,ventral cord motor neuron,
VB03,motorneuron,ventral cord motor neuron,
VB04,motorneuron,ventral cord motor neuron,
VB05,motorneuron,ventral cord motor neuron,
VB06,motorneuron,ventral cord motor neuron,
VB07,motorneuron,ventral cord motor neuron,
VB08,motorneuron,ventral cord motor neuron,
VB09,motorneuron,ventral cord motor neuron,
VB10,motorneuron,ventral cord motor neuron,
VB11,motorneuron,ventral cord motor neuron,
VC01,motorneuron,sex-specific neuron,
VC02,motorneuron,sex-specific neuron,
VC03,motorneuron,sex-specific neuron,
VC04,motorneuron,sex-specific neuron,
VC05,motorneuron,sex-specific neuron,
VC06,motorneuron,sex-specific neuron,
VD01,motorneuron,ventral cord motor neuron,
VD02,motorneuron,ventral cord motor neuron,
VD03,motorneuron,ventral cord motor neuron,
VD04,motorneuron,ventral cord motor neuron,
VD05,motorneuron,ventral cord motor neuron,
VD06,motorneuron,ventral cord motor neuron,
VD07,motorneuron,ventral cord motor neuron,
VD08,motorneuron,ventral cord motor neuron,
VD09,motorneuron,ventral cord motor neuron,
VD10,motorneuron,ventral cord motor neuron,
VD11,motorneuron,ventral cord motor neuron,
VD12,motorneuron,ventral cord motor neuron,
VD13,motorneuron,ventral cord motor neuron,
